Insumo 1;Insumo 2;Similitud (%)
"REDUCCION DE COBRE SOLDABLE 1 1/2" - 1"";"REDUCCION DE COBRE SOLDABLE 2 1/2" - 2"";100.00%
"TEE DE FIERRO MALEABLE GALVANIZADO DE Ø 1 1/2" CLASE 150 ASTM A197 - ROSCADO";"TEE DE FIERRO MALEABLE GALVANIZADO DE Ø 1/2" CLASE 150 ASTM A197 - ROSCADO";100.00%
"REDUCCION DE COBRE SOLDABLE 1 1/4" - 1/2"";"REDUCCION DE COBRE SOLDABLE 2 1/2" - 1 1/4"";100.00%
"TEE MECANICA SCH - 40 2 1/2" - 1 1/2"";"TEE MECANICA SCH - 40 2 1/2" - 1"";100.00%
"REDUCCION DE COBRE SOLDABLE 1 1/2" - 1"";"REDUCCION DE COBRE SOLDABLE 2 1/2" - 1 1/2"";100.00%
"ADAPTADOR DE COBRE ROSCA MACHO 1/2"";"ADAPTADOR DE COBRE ROSCA MACHO 2 1/2"";100.00%
"REDUCCION DE COBRE SOLDABLE 1 1/2" - 1"";"REDUCCION DE COBRE SOLDABLE 1" - 1/2"";100.00%
"CRUZ SCH - 40 1 1/2"";"CRUZ SCH - 40 2 1/2"";100.00%
"ventana (V-10')2.00 X 0.60m MARCOS DE ALUMINIO VIDRIO LAMINADO 6mm";"VENTANA (V-10)2.00 X 0.60m MARCOS DE ALUMINIO VIDRIO LAMINADO 6mm";100.00%
"TEE MECANICA SCH - 40 2 1/2" - 1 1/4"";"TEE MECANICA SCH - 40 4" - 1 1/2"";100.00%
"REDUCCION DE COBRE SOLDABLE 1 1/2" - 1"";"REDUCCION DE COBRE SOLDABLE 1 1/2" - 1/2"";100.00%
"REDUCCION DE COBRE SOLDABLE 1 1/2" - 1 1/4"";"REDUCCION DE COBRE SOLDABLE 4" - 2 1/2"";100.00%
"TEE MECANICA SCH - 40 4" - 1 1/4"";"TEE MECANICA SCH - 40 4" - 1"";100.00%
"VALVULA ESFERICA DE BRONCE DE 1/2"";"VALVULA ESFERICA DE BRONCE DE 2 1/2"";100.00%
"REDUCCION DE COBRE SOLDABLE 1 1/2" - 1 1/4"";"REDUCCION DE COBRE SOLDABLE 2" - 1 1/4"";100.00%
"REDUCCION DE COBRE SOLDABLE 1 1/2" - 1 1/4"";"REDUCCION DE COBRE SOLDABLE 2 1/2" - 1 1/4"";100.00%
"REDUCCION DE COBRE SOLDABLE 1 1/2" - 1 1/4"";"REDUCCION DE COBRE SOLDABLE 1 1/4" - 1/2"";100.00%
"JUNTA FLEXIBLE METAFLEX O SIMILAR, TUBERIA DE 1 1/2"";"JUNTA FLEXIBLE METAFLEX O SIMILAR, TUBERIA DE 1/2"";100.00%
"COLGADOR TIPO GOTA 1/2" INCL ACCESORIOS";"COLGADOR TIPO GOTA 2 1/2" INCL ACCESORIOS";100.00%
"ADAPTADOR DE COBRE TIPO L 1 1/2"";"ADAPTADOR DE COBRE TIPO L 1/2"";100.00%
"REDUCCION BUSHING SCH - 40 2" - 1 1/2"";"REDUCCION BUSHING SCH - 40 2" - 1"";100.00%
"COLGADOR TIPO GOTA 1 1/2" INCL ACCESORIOS";"COLGADOR TIPO GOTA 2 1/2" INCL ACCESORIOS";100.00%
"COLGADOR TIPO GOTA 1 1/2" INCL ACCESORIOS";"COLGADOR TIPO GOTA 1/2" INCL ACCESORIOS";100.00%
"VALVULA ESFERICA DE BRONCE DE 1 1/2";"VALVULA ESFERICA DE BRONCE DE 2 1/2"";100.00%
"VALVULA ESFERICA DE BRONCE DE 1 1/2";"VALVULA ESFERICA DE BRONCE DE 1/2"";100.00%
"CODO DE FIERRO MALEABLE GALVANIZADO DE Ø 1/2" x 90º CLASE 150 ASTM A197 - ROSCADO";"CODO DE FIERRO MALEABLE GALVANIZADO DE Ø 2 1/2" x 90º CLASE 150 ASTM A197  - ROSCADO";100.00%
"VALVULA DE BOLA ESFERICA DE BRONCE 1/2"";"VALVULA DE BOLA ESFERICA DE BRONCE 2 1/2"";100.00%
"CODO DE FIERRO MALEABLE GALVANIZADO DE Ø 1 1/2" x 90º CLASE 150 ASTM A197  - ROSCADO";"CODO DE FIERRO MALEABLE GALVANIZADO DE Ø 2 1/2" x 90º CLASE 150 ASTM A197  - ROSCADO";100.00%
"CODO DE FIERRO MALEABLE GALVANIZADO DE Ø 1 1/2" x 90º CLASE 150 ASTM A197  - ROSCADO";"CODO DE FIERRO MALEABLE GALVANIZADO DE Ø 1/2" x 90º CLASE 150 ASTM A197 - ROSCADO";100.00%
"REDUCCION DE COBRE SOLDABLE 1 1/4" - 1/2"";"REDUCCION DE COBRE SOLDABLE 2" - 1 1/4"";100.00%
"VALVULA DE BOLA ESFERICA DE BRONCE 1 1/2"";"VALVULA DE BOLA ESFERICA DE BRONCE 2 1/2"";100.00%
"VALVULA DE BOLA ESFERICA DE BRONCE 1 1/2"";"VALVULA DE BOLA ESFERICA DE BRONCE 1/2"";100.00%
"REDUCCION DE COBRE SOLDABLE 1 1/4" - 1/2"";"REDUCCION DE COBRE SOLDABLE 4" - 2 1/2"";100.00%
"REDUCCION BUSHING SCH - 40 1 1/2" - 1 1/4"";"REDUCCION BUSHING SCH - 40 2" - 1 1/4"";100.00%
"CODO DE COBRE SOLDABLE 1 1/2" x 45°";"CODO DE COBRE SOLDABLE 1/2" X 45°";100.00%
"REDUCCIÓN BUSHING DE FIERRO MALEABLE GALVANIZADO DE 2 1/2" X 1 1/2" CLASE 150 ASTM A197 - ROSCADO";"REDUCCIÓN BUSHING DE FIERRO MALEABLE GALVANIZADO DE 2 1/2" X 1" CLASE 150 ASTM A197 - ROSCADO";100.00%
"REDUCCIÓN BUSHING DE FIERRO MALEABLE GALVANIZADO DE 1 1/2" X 3/4" CLASE 150 ASTM A197 - ROSCADO";"REDUCCIÓN BUSHING DE FIERRO MALEABLE GALVANIZADO DE 3/4" X 1/2" CLASE 150 ASTM A197 - ROSCADO";100.00%
"TUBERIA CEDULA - 40 DE 1 1/2"";"TUBERIA CEDULA - 40 DE 2 1/2"";100.00%
"VALVULA DE BOLA 1 1/2" SCRD 150 PSI";"VALVULA DE BOLA 1/2" SCRD 150 PSI";100.00%
"REDUCCIÓN BUSHING DE FIERRO MALEABLE GALVANIZADO DE 1 1/2" X 1/2" CLASE 150 ASTM A197 - ROSCADO";"REDUCCIÓN BUSHING DE FIERRO MALEABLE GALVANIZADO DE 2 1/2" X 1" CLASE 150 ASTM A197 - ROSCADO";100.00%
"REDUCCIÓN BUSHING DE FIERRO MALEABLE GALVANIZADO DE 1 1/2" X 1/2" CLASE 150 ASTM A197 - ROSCADO";"REDUCCIÓN BUSHING DE FIERRO MALEABLE GALVANIZADO DE 2 1/2" X 1 1/2" CLASE 150 ASTM A197 - ROSCADO";100.00%
"TUBERIA DE COBRE TIPO K ø 1/2"";"TUBERIA DE COBRE TIPO K ø 2 1/2"";100.00%
"TUBERIA DE COBRE TIPO L DE 1 1/2"";"TUBERIA DE COBRE TIPO L DE 1/2"";100.00%
"CODO DE COBRE SOLDABLE  1/2" x 90°";"CODO DE COBRE SOLDABLE  2 1/2" x 90°";100.00%
"VALVULA COMPUERTA DE BRONCE 1/2"";"VALVULA COMPUERTA DE BRONCE DE 2 1/2"";100.00%
"REDUCCIÓN BUSHING DE FIERRO MALEABLE GALVANIZADO DE 1 1/2" X 1" CLASE 150 ASTM A197 - ROSCADO";"REDUCCIÓN BUSHING DE FIERRO MALEABLE GALVANIZADO DE 2 1/2" X 1" CLASE 150 ASTM A197 - ROSCADO";100.00%
"REDUCCIÓN BUSHING DE FIERRO MALEABLE GALVANIZADO DE 1 1/2" X 1" CLASE 150 ASTM A197 - ROSCADO";"REDUCCIÓN BUSHING DE FIERRO MALEABLE GALVANIZADO DE 2 1/2" X 1 1/2" CLASE 150 ASTM A197 - ROSCADO";100.00%
"REDUCCIÓN BUSHING DE FIERRO MALEABLE GALVANIZADO DE 1 1/2" X 1" CLASE 150 ASTM A197 - ROSCADO";"REDUCCIÓN BUSHING DE FIERRO MALEABLE GALVANIZADO DE 1 1/2" X 1/2" CLASE 150 ASTM A197 - ROSCADO";100.00%
"REDUCCION BUSHING  SCH - 40 1 1/2" - 1"";"REDUCCION BUSHING SCH - 40 2" - 1"";100.00%
"VALVULA COMPUERTA DE BRONCE 1 1/2"";"VALVULA COMPUERTA DE BRONCE DE 2 1/2"";100.00%
"VALVULA COMPUERTA DE BRONCE 1 1/2"";"VALVULA COMPUERTA DE BRONCE 1/2"";100.00%
"REDUCCION BUSHING  SCH - 40 1 1/2" - 1"";"REDUCCION BUSHING SCH - 40 2" - 1 1/2"";100.00%
"TUBERIA SCH - 40 DE Ø 1 1/2"";"TUBERIA SCH - 40 DE Ø 1/2"";100.00%
"TUBERIA SCH - 40 DE Ø 1 1/2"";"TUBERIA SCH - 40 DE Ø 2 1/2"";100.00%
"VALVULA CHECK DE BRONCE DE 1 1/2"";"VALVULA CHECK DE BRONCE DE 1/2"";100.00%
"TUBERIA SCH - 40 DE Ø 1/2"";"TUBERIA SCH - 40 DE Ø 2 1/2"";100.00%
"VALVULA CHECK DE BRONCE ∅ 2 1/2"";"VALVULA CHECK DE BRONCE DE 1/2"";100.00%
"VALVULA CHECK DE BRONCE ∅ 2 1/2"";"VALVULA CHECK DE BRONCE DE 1 1/2"";100.00%
"AISLADORES TERMICOS PARA TUBERIAS DE 1 1/2"";"AISLADORES TERMICOS PARA TUBERIAS DE 2 1/2"";100.00%
"TUBO DE ACERO AL CARBONO SOLDABLE SCH - 40 DE 1 1/2" X 6 m";"TUBO DE ACERO AL CARBONO SOLDABLE SCH - 40 DE 1/2" X 6 m";100.00%
"TUBO DE ACERO AL CARBONO SOLDABLE SCH - 40 DE 1 1/2" X 6 m";"TUBO DE ACERO AL CARBONO SOLDABLE SCH - 40 DE 2 1/2" X 6 m";100.00%
"PRUEBAS CRUZADAS Y DE HERMETICIDAD.";"PRUEBAS CRUZADAS Y DE HERMETICIDAD.";100.00%
"CODO DE COBRE SOLDABLE  1 1/2" x 90°";"CODO DE COBRE SOLDABLE  2 1/2" x 90°";100.00%
"CODO DE COBRE SOLDABLE  1 1/2" x 90°";"CODO DE COBRE SOLDABLE  1/2" x 90°";100.00%
"CODO DE COBRE DE TIPO L 1 1/2" X 90º";"CODO DE COBRE DE TIPO L 1/2" X 90º";100.00%
"CODO DE ACERO AL CARBONO -  ROSCADO SCH-40 1 1/2"X90°";"CODO DE ACERO AL CARBONO -  ROSCADO SCH-40 1/2"X90°";100.00%
"TUBO DE ACERO AL CARBONO SOLDABLE SCH - 40 DE 1/2" X 6 m";"TUBO DE ACERO AL CARBONO SOLDABLE SCH - 40 DE 2 1/2" X 6 m";100.00%
"CODO 1 1/2" x 90º CLASE150 MI 197 ROSCADO FIERRO MALEABLE";"CODO 1/2" x 90º CLASE150 MI 197 ROSCADO FIERRO MALEABLE";100.00%
"TUBO DE COBRE TIPO K Ø  1 1/2"";"TUBO DE COBRE TIPO K Ø  1/2"";100.00%
"TUBO DE COBRE TIPO L Ø  2 1/2" x 6M";"TUBO DE COBRE TIPO L Ø 1 1/2" x 6M";100.00%
"TUBO DE COBRE TIPO L Ø  2 1/2" x 6M";"TUBO DE COBRE TIPO L Ø 1/2" x 6M";100.00%
"TUBO DE COBRE TIPO L Ø 1 1/2" x 6M";"TUBO DE COBRE TIPO L Ø 1/2" x 6M";100.00%
"TUBO DE FIERRO GALVANIZADO DE 1 1/2" x 2.5mm";"TUBO DE FIERRO GALVANIZADO DE 1" x 2.5mm";100.00%
"TUBO DE FIERRO GALVANIZADO DE 1 1/2" x 2.5mm";"TUBO DE FIERRO GALVANIZADO DE 1/2" x 2.5mm";100.00%
"UNION UNIVERSAL DE FIERRO MALEABLE GALVANIZADO DE Ø 1/2" CLASE 150 ASTM A197";"UNION UNIVERSAL DE FIERRO MALEABLE GALVANIZADO DE Ø 2 1/2" CLASE 150 ASTM A197";100.00%
