Insumo 1;Insumo 2;Similitud (%)
"VALVULA DE BOLA DE TRES PIEZAS DE 1 1/4"";"VALVULA DE BOLA DE TRES PIEZAS DE 3/4"";87.88%
"SUMINISTRO E INSTALACION UMA(unidad manejadora de aire) - 688 CFM";"SUMINISTRO E INSTALACION UMA(unidad manejadora de aire) - 970 CFM";87.88%
"VALVULA DE BOLA DE TRES PIEZAS DE 1 1/4"";"VALVULA DE BOLA DE TRES PIEZAS DE 1/2"";87.88%
"SUMINISTRO E INSTALACION UMA(unidad manejadora de aire) - 650 CFM";"SUMINISTRO E INSTALACION UMA(unidad manejadora de aire) - 970 CFM";87.88%
"VALVULA ESFERICA DE BRONCE DE 1 1/4"";"VALVULA ESFERICA DE BRONCE DE 1/2"";87.88%
"JUNTA DE EXPANSION SISMICA DE 1 1/4"";"JUNTA DE EXPANSION SISMICA DE 3/4"";87.88%
"SUMINISTRO E INSTALACION UMA(unidad manejadora de aire) - 650 CFM";"SUMINISTRO E INSTALACION UMA(unidad manejadora de aire) - 990 CFM";87.88%
"SUMINISTRO E INSTALACION UMA(unidad manejadora de aire) - 688 CFM";"SUMINISTRO E INSTALACION UMA(unidad manejadora de aire) - 732 CFM";87.88%
"UNION DE COBRE PARA SOLDAR 1 1/2"";"UNION DE COBRE PARA SOLDAR 1 1/4"";87.88%
"TEE DE COBRE SOLDABLE 1 1/2" X 90°";"TEE DE COBRE SOLDABLE 1 1/4" X 90°";87.88%
"UNION DE COBRE PARA SOLDAR 1 1/4"";"UNION DE COBRE PARA SOLDAR 1/2"";87.88%
"SUMINISTRO E INSTALACION UMA(unidad manejadora de aire) - 990 CFM";"SUMINISTRO E INSTALACION UMA(unidad manejadora de aire)- 600 CFM";87.88%
"UNION DE COBRE PARA SOLDAR 1 1/4"";"UNION DE COBRE PARA SOLDAR 2 1/2";87.88%
"UNION DE COBRE PARA SOLDAR 1 1/4"";"UNION DE COBRE PARA SOLDAR 3/4"";87.88%
"P.A. CAMARA RETINAL NO MIDRIATICA";"CAMARA RETINAL NO MIDRIATICA";87.88%
"JUNTA DE EXPANSION SISMICA DE 1 1/2"";"JUNTA DE EXPANSION SISMICA DE 1 1/4"";87.88%
"SUMINISTRO E INSTALACION UMA(unidad manejadora de aire) - 660 CFM";"SUMINISTRO E INSTALACION UMA(unidad manejadora de aire) - 732 CFM";87.88%
"SUMINISTRO E INSTALACION UMA(unidad manejadora de aire) - 732 CFM";"SUMINISTRO E INSTALACION UMA(unidad manejadora de aire) - 970 CFM";87.88%
"FILTRO DE AIRE COD. REF. AT332908";"FILTRO DE AIRE COD. REF. AT332909";87.88%
"SUMINISTRO E INSTALACION UMA(unidad manejadora de aire) - 680 CFM";"SUMINISTRO E INSTALACION UMA(unidad manejadora de aire) - 990 CFM";87.88%
"SUMINISTRO E INSTALACION UMA(unidad manejadora de aire) - 688 CFM";"SUMINISTRO E INSTALACION UMA(unidad manejadora de aire) - 750 CFM";87.88%
"TUBO DE COBRE TIPO L Ø  2 1/2" x 6M";"TUBO DE COBRE TIPO L Ø 1 1/4" x 6M";87.88%
"SUMINISTRO E INSTALACION UMA(unidad manejadora de aire) - 660 CFM";"SUMINISTRO E INSTALACION UMA(unidad manejadora de aire) - 750 CFM";87.88%
"CRISTAL TEMPLADO INCOLORO 6 mm";"CRISTAL TEMPLADO INCOLORO 8 mm";87.88%
"SUMINISTRO E INSTALACION UMA(unidad manejadora de aire) - 650 CFM";"SUMINISTRO E INSTALACION UMA(unidad manejadora de aire) - 732 CFM";87.88%
"PUERTA CORTAFUEGO DE METAL 60 cm X 2.00 m";"PUERTA CORTAFUEGO DE METAL 60 cm X 2.20 m";87.80%
"INYECTOR HELICOCENTRIFUGO 235 CFM, 102W, 220/1/60";"INYECTOR HELICOCENTRIFUGO 286 CFM, 102W, 220/1/60";87.76%
"INYECTOR HELICOCENTRIFUGO 114 CFM, 102W, 220/1/60";"INYECTOR HELICOCENTRIFUGO 150 CFM, 102W, 220/1/60";87.76%
"INYECTOR HELICOCENTRIFUGO 114 CFM, 102W, 220/1/60";"INYECTOR HELICOCENTRIFUGO 180 CFM, 102W, 220/1/60";87.76%
"INYECTOR HELICOCENTRIFUGO 114 CFM, 102W, 220/1/60";"INYECTOR HELICOCENTRIFUGO 194 CFM, 102W, 220/1/60";87.76%
"INYECTOR HELICOCENTRIFUGO 114 CFM, 102W, 220/1/60";"INYECTOR HELICOCENTRIFUGO 195 CFM, 102W, 220/1/60";87.76%
"INYECTOR HELICOCENTRIFUGO 114 CFM, 102W, 220/1/60";"INYECTOR HELICOCENTRIFUGO 216 CFM, 102W, 220/1/60";87.76%
"INYECTOR HELICOCENTRIFUGO 114 CFM, 102W, 220/1/60";"INYECTOR HELICOCENTRIFUGO 217 CFM, 102W, 220/1/60";87.76%
"INYECTOR HELICOCENTRIFUGO 114 CFM, 102W, 220/1/60";"INYECTOR HELICOCENTRIFUGO 235 CFM, 102W, 220/1/60";87.76%
"INYECTOR HELICOCENTRIFUGO 114 CFM, 102W, 220/1/60";"INYECTOR HELICOCENTRIFUGO 249 CFM, 102W, 220/1/60";87.76%
"INYECTOR HELICOCENTRIFUGO 114 CFM, 102W, 220/1/60";"INYECTOR HELICOCENTRIFUGO 282 CFM, 102W, 220/1/60";87.76%
"INYECTOR HELICOCENTRIFUGO 114 CFM, 102W, 220/1/60";"INYECTOR HELICOCENTRIFUGO 286 CFM, 102W, 220/1/60";87.76%
"INYECTOR HELICOCENTRIFUGO 150 CFM, 102W, 220/1/60";"INYECTOR HELICOCENTRIFUGO 180 CFM, 102W, 220/1/60";87.76%
"INYECTOR HELICOCENTRIFUGO 150 CFM, 102W, 220/1/60";"INYECTOR HELICOCENTRIFUGO 194 CFM, 102W, 220/1/60";87.76%
"INYECTOR HELICOCENTRIFUGO 150 CFM, 102W, 220/1/60";"INYECTOR HELICOCENTRIFUGO 195 CFM, 102W, 220/1/60";87.76%
"INYECTOR HELICOCENTRIFUGO 150 CFM, 102W, 220/1/60";"INYECTOR HELICOCENTRIFUGO 216 CFM, 102W, 220/1/60";87.76%
"INYECTOR HELICOCENTRIFUGO 150 CFM, 102W, 220/1/60";"INYECTOR HELICOCENTRIFUGO 217 CFM, 102W, 220/1/60";87.76%
"INYECTOR HELICOCENTRIFUGO 150 CFM, 102W, 220/1/60";"INYECTOR HELICOCENTRIFUGO 235 CFM, 102W, 220/1/60";87.76%
"INYECTOR HELICOCENTRIFUGO 150 CFM, 102W, 220/1/60";"INYECTOR HELICOCENTRIFUGO 249 CFM, 102W, 220/1/60";87.76%
"INYECTOR HELICOCENTRIFUGO 150 CFM, 102W, 220/1/60";"INYECTOR HELICOCENTRIFUGO 282 CFM, 102W, 220/1/60";87.76%
"INYECTOR HELICOCENTRIFUGO 150 CFM, 102W, 220/1/60";"INYECTOR HELICOCENTRIFUGO 286 CFM, 102W, 220/1/60";87.76%
"INYECTOR HELICOCENTRIFUGO 180 CFM, 102W, 220/1/60";"INYECTOR HELICOCENTRIFUGO 194 CFM, 102W, 220/1/60";87.76%
"INYECTOR HELICOCENTRIFUGO 180 CFM, 102W, 220/1/60";"INYECTOR HELICOCENTRIFUGO 195 CFM, 102W, 220/1/60";87.76%
"INYECTOR HELICOCENTRIFUGO 180 CFM, 102W, 220/1/60";"INYECTOR HELICOCENTRIFUGO 216 CFM, 102W, 220/1/60";87.76%
"INYECTOR HELICOCENTRIFUGO 180 CFM, 102W, 220/1/60";"INYECTOR HELICOCENTRIFUGO 217 CFM, 102W, 220/1/60";87.76%
"INYECTOR HELICOCENTRIFUGO 180 CFM, 102W, 220/1/60";"INYECTOR HELICOCENTRIFUGO 235 CFM, 102W, 220/1/60";87.76%
"INYECTOR HELICOCENTRIFUGO 180 CFM, 102W, 220/1/60";"INYECTOR HELICOCENTRIFUGO 249 CFM, 102W, 220/1/60";87.76%
"INYECTOR HELICOCENTRIFUGO 180 CFM, 102W, 220/1/60";"INYECTOR HELICOCENTRIFUGO 282 CFM, 102W, 220/1/60";87.76%
"INYECTOR HELICOCENTRIFUGO 180 CFM, 102W, 220/1/60";"INYECTOR HELICOCENTRIFUGO 286 CFM, 102W, 220/1/60";87.76%
"INYECTOR HELICOCENTRIFUGO 194 CFM, 102W, 220/1/60";"INYECTOR HELICOCENTRIFUGO 216 CFM, 102W, 220/1/60";87.76%
"INYECTOR HELICOCENTRIFUGO 194 CFM, 102W, 220/1/60";"INYECTOR HELICOCENTRIFUGO 217 CFM, 102W, 220/1/60";87.76%
"INYECTOR HELICOCENTRIFUGO 194 CFM, 102W, 220/1/60";"INYECTOR HELICOCENTRIFUGO 235 CFM, 102W, 220/1/60";87.76%
"INYECTOR HELICOCENTRIFUGO 194 CFM, 102W, 220/1/60";"INYECTOR HELICOCENTRIFUGO 249 CFM, 102W, 220/1/60";87.76%
"INYECTOR HELICOCENTRIFUGO 194 CFM, 102W, 220/1/60";"INYECTOR HELICOCENTRIFUGO 282 CFM, 102W, 220/1/60";87.76%
"INYECTOR HELICOCENTRIFUGO 194 CFM, 102W, 220/1/60";"INYECTOR HELICOCENTRIFUGO 286 CFM, 102W, 220/1/60";87.76%
"INYECTOR HELICOCENTRIFUGO 195 CFM, 102W, 220/1/60";"INYECTOR HELICOCENTRIFUGO 216 CFM, 102W, 220/1/60";87.76%
"INYECTOR HELICOCENTRIFUGO 195 CFM, 102W, 220/1/60";"INYECTOR HELICOCENTRIFUGO 217 CFM, 102W, 220/1/60";87.76%
"INYECTOR HELICOCENTRIFUGO 195 CFM, 102W, 220/1/60";"INYECTOR HELICOCENTRIFUGO 235 CFM, 102W, 220/1/60";87.76%
"INYECTOR HELICOCENTRIFUGO 195 CFM, 102W, 220/1/60";"INYECTOR HELICOCENTRIFUGO 249 CFM, 102W, 220/1/60";87.76%
"INYECTOR HELICOCENTRIFUGO 195 CFM, 102W, 220/1/60";"INYECTOR HELICOCENTRIFUGO 282 CFM, 102W, 220/1/60";87.76%
"INYECTOR HELICOCENTRIFUGO 195 CFM, 102W, 220/1/60";"INYECTOR HELICOCENTRIFUGO 286 CFM, 102W, 220/1/60";87.76%
"INYECTOR HELICOCENTRIFUGO 216 CFM, 102W, 220/1/60";"INYECTOR HELICOCENTRIFUGO 235 CFM, 102W, 220/1/60";87.76%
"INYECTOR HELICOCENTRIFUGO 216 CFM, 102W, 220/1/60";"INYECTOR HELICOCENTRIFUGO 249 CFM, 102W, 220/1/60";87.76%
"INYECTOR HELICOCENTRIFUGO 216 CFM, 102W, 220/1/60";"INYECTOR HELICOCENTRIFUGO 282 CFM, 102W, 220/1/60";87.76%
"INYECTOR HELICOCENTRIFUGO 216 CFM, 102W, 220/1/60";"INYECTOR HELICOCENTRIFUGO 286 CFM, 102W, 220/1/60";87.76%
"INYECTOR HELICOCENTRIFUGO 217 CFM, 102W, 220/1/60";"INYECTOR HELICOCENTRIFUGO 235 CFM, 102W, 220/1/60";87.76%
"INYECTOR HELICOCENTRIFUGO 217 CFM, 102W, 220/1/60";"INYECTOR HELICOCENTRIFUGO 249 CFM, 102W, 220/1/60";87.76%
"INYECTOR HELICOCENTRIFUGO 217 CFM, 102W, 220/1/60";"INYECTOR HELICOCENTRIFUGO 282 CFM, 102W, 220/1/60";87.76%
"INYECTOR HELICOCENTRIFUGO 217 CFM, 102W, 220/1/60";"INYECTOR HELICOCENTRIFUGO 286 CFM, 102W, 220/1/60";87.76%
"INYECTOR HELICOCENTRIFUGO 235 CFM, 102W, 220/1/60";"INYECTOR HELICOCENTRIFUGO 249 CFM, 102W, 220/1/60";87.76%
"INYECTOR HELICOCENTRIFUGO 235 CFM, 102W, 220/1/60";"INYECTOR HELICOCENTRIFUGO 282 CFM, 102W, 220/1/60";87.76%
"INYECTOR HELICOCENTRIFUGO 249 CFM, 102W, 220/1/60";"INYECTOR HELICOCENTRIFUGO 282 CFM, 102W, 220/1/60";87.76%
"INYECTOR HELICOCENTRIFUGO 249 CFM, 102W, 220/1/60";"INYECTOR HELICOCENTRIFUGO 286 CFM, 102W, 220/1/60";87.76%
"INYECTOR HELICOCENTRIFUGO 254 CFM, 130W, 220/1/60";"INYECTOR HELICOCENTRIFUGO 262 CFM, 130W, 220/1/60";87.76%
"INYECTOR HELICOCENTRIFUGO 254 CFM, 130W, 220/1/60";"INYECTOR HELICOCENTRIFUGO 276 CFM, 130W, 220/1/60";87.76%
"INYECTOR HELICOCENTRIFUGO 262 CFM, 130W, 220/1/60";"INYECTOR HELICOCENTRIFUGO 276 CFM, 130W, 220/1/60";87.76%
"CURVA PVC SAP P/INST. ELECT. NTP 399.006 DE 20mm";"CURVA PVC SAP P/INST. ELECT. NTP 399.006 DE 40mm";87.76%
"SUMINISTRO E INSTALACIÓN DE HUMIDIFICADOR CAP. 21 LB/H";"SUMINISTRO E INSTALACIÓN DE HUMIDIFICADOR CAP. 25.12 LB/H";87.72%
"SET INSTRUMENTAL DE PEQUEÑAS INTERVENCIONES QUIRURGICAS";"SET INSTRUMENTAL PARA PEQUEÑAS INTERVENCIONES QUIRURGICAS";87.72%
"SUMINISTRO E INSTALACIÓN DE HUMIDIFICADOR CAP. 21 LB/H";"SUMINISTRO E INSTALACIÓN DE HUMIDIFICADOR CAP. 45.20 LB/H";87.72%
"SUMINISTRO E INSTALACIÓN DE HUMIDIFICADOR CAP. 20.64 LB/H";"SUMINISTRO E INSTALACIÓN DE HUMIDIFICADOR CAP. 21 LB/H";87.72%
"SUMINISTRO E INSTALACIÓN DE HUMIDIFICADOR CAP. 21 LB/H";"SUMINISTRO E INSTALACIÓN DE HUMIDIFICADOR CAP. 23.75 LB/H";87.72%
"Puerta cortafuegos (PCF-01) 1.20x2.20m.  incluye accesorios y pintura";"Puerta cortafuegos (PCF-05)1.50x2.20m.  incluye accesorios y pintura";87.69%
"MAMPARA VENTANAS CORREDIZAS MARCOS DE ALUMINIO VIDRIO TEMPLADO 10mm (M-5) 2.20x3.00m.";"MAMPARA VENTANAS CORREDIZAS MARCOS DE ALUMINIO VIDRIO TEMPLADO 10mm (M-7) 2.02x3.00m.";87.65%
"MAMPARA VENTANAS CORREDIZAS MARCOS DE ALUMINIO VIDRIO TEMPLADO 10mm (M-3) 5.63x3.00m.";"MAMPARA VENTANAS CORREDIZAS MARCOS DE ALUMINIO VIDRIO TEMPLADO 10mm (M-9) 3.00x3.00m.";87.65%
"CODO DE COBRE SOLDABLE  1 1/4" x 90°";"CODO DE COBRE SOLDABLE  3/4" x 90°";87.50%
"CODO DE COBRE SOLDABLE  1 1/4" x 90°";"CODO DE COBRE SOLDABLE  2 1/2" x 90°";87.50%
"TERMINALES PARA CONDUCTORES DE 10 MM2";"TERMINALES PARA CONDUCTORES DE 120 MM2";87.50%
"VALVULA COMPUERTA DE BRONCE 4"";"VALVULA DE COMPUERTA BRONCE DE 6"";87.50%
"VALVULA COMPUERTA DE BRONCE DE 3"";"VALVULA DE COMPUERTA BRONCE DE 6"";87.50%
"VALVULA COMPUERTA DE BRONCE 4"";"VALVULA COMPUERTA DE BRONCE DE 3"";87.50%
"TUBERIA CEDULA - 40 DE 3"";"TUBERIA CEDULA - 40 DE 4"";87.50%
"VALVULA COMPUERTA DE BRONCE 1"";"VALVULA DE COMPUERTA BRONCE DE 6"";87.50%
"CODO DE COBRE SOLDABLE  1 1/4" x 90°";"CODO DE COBRE SOLDABLE  1/2" x 90°";87.50%
"VALVULA COMPUERTA DE BRONCE 1"";"VALVULA COMPUERTA DE BRONCE DE 3"";87.50%
"Adquisición de tacho negro de 40 lt con tapa HDPE";"Adquisición de tacho negro de 60 lt  con tapa HDPE";87.50%
"TEE SCH - 40 1 1/2" ROSCADO";"TEE SCH - 40 1 1/4" ROSCADO";87.50%
"Adquisición de tacho negro de 20 lt con tapa HDPE";"Adquisición de tacho negro de 60 lt  con tapa HDPE";87.50%
"Adquisición de tacho negro de 20 lt con tapa HDPE";"Adquisición de tacho negro de 40 lt con tapa HDPE";87.50%
"VALVULA COMPUERTA DE BRONCE 1"";"VALVULA COMPUERTA DE BRONCE 4"";87.50%
"marco (V-19)5.50 X 1.00m MARCOS DE ALUMINIO VIDRIO LAMINADO 6mm";"(V-15)0.50 X 1.00m MARCOS DE ALUMINIO VIDRIO LAMINADO 6mm";87.50%
"ADAPTADOR DE COBRE TIPO L 1 1/4"";"ADAPTADOR DE COBRE TIPO L 3/4"";87.50%
"TUBERIA CEDULA - 40 DE 1"";"TUBERIA CEDULA - 40 DE 4"";87.50%
"CAJA F°G° PESADA DE 100X100X100 MM";"CAJA F°G° PESADA DE 100X100X75 MM";87.50%
"PLACA FRONTAL DE 2 PUERTOS DE RED";"PLACA FRONTAL DE 3 PUERTOS DE RED";87.50%
"P.A. BOMBA DE INFUSION DE 2 CANALES";"BOMBA DE INFUSION DE 2 CANALES";87.50%
"UNIDAD DE AIRE ACONDICIONADO TIPO SPLIT DECORATIVO DE 12000 BTU/H";"UNIDAD DE AIRE ACONDICIONADO TIPO SPLIT DECORATIVO DE 24000 BTU/H";87.50%
"P.A. EQUIPO DE LASER TERAPEUTICO";"EQUIPO DE LASER TERAPEUTICO";87.50%
"REDUCCION SCH - 40 3" - 2 1/2"";"REDUCCION SCH - 40 4" - 2 1/2"";87.50%
"REDUCCION SCH - 40 4" - 2 1/2"";"REDUCCION SCH - 40 6" - 2 1/2"";87.50%
"TERMINALES PARA CONDUCTORES DE 120 MM2";"TERMINALES PARA CONDUCTORES DE 16 MM2";87.50%
"TUBERIA CEDULA - 40 DE 4"";"TUBERIA CEDULA - 40 DE 6"";87.50%
"ADAPTADOR DE COBRE TIPO L 1 1/4"";"ADAPTADOR DE COBRE TIPO L 1/2"";87.50%
"CODO DE COBRE SOLDABLE  1 1/2" x 90°";"CODO DE COBRE SOLDABLE  1 1/4" x 90°";87.50%
"CRUZ SCH - 40 1 1/2"";"CRUZ SCH - 40 2"";87.50%
"ADAPTADOR DE COBRE TIPO L 1 1/2"";"ADAPTADOR DE COBRE TIPO L 1 1/4"";87.50%
"CAJA F°G° PESADA DE 100X100X100 MM";"CAJA F°G° PESADA DE 100X100X50 MM";87.50%
"CRUZ SCH - 40 2 1/2"";"CRUZ SCH - 40 2"";87.50%
"INTERRUPTOR TERMOMAGNETICO DE FUERZA 4x1000 A";"INTERRUPTOR TERMOMAGNETICO DE FUERZA 4x2000 A";87.50%
"TEE  1 1/2" x 90º CLASE150 MI 197 - ROSCADO FIERRO MALEABLE";"CODO 1 1/2" x 90º CLASE150 MI 197 ROSCADO FIERRO MALEABLE";87.27%
"TEE  1/2" x 90º CLASE150 MI 197 - ROSCADO FIERRO MALEABLE";"CODO 1/2" x 90º CLASE150 MI 197 ROSCADO FIERRO MALEABLE";87.27%
"TEE  1/2" x 90º CLASE150 MI 197 - ROSCADO FIERRO MALEABLE";"CODO 1 1/2" x 90º CLASE150 MI 197 ROSCADO FIERRO MALEABLE";87.27%
"SENSOR DE HUMO Y TEMPERATURA DIRECCIONABLE PARA INCENDIO";"SENSOR DE TEMPERATURA DIRECCIONABLE PARA INCENDIO";87.27%
"TEE  1 1/2" x 90º CLASE150 MI 197 - ROSCADO FIERRO MALEABLE";"CODO 1/2" x 90º CLASE150 MI 197 ROSCADO FIERRO MALEABLE";87.27%
"Bandeja tipo malla de 105x600x3000mm electrozincado con aterramiento incluye accesorios de instalación";"Bandeja tipo malla de 60x500x3000mm electrozincado con aterramiento incluye accesorios de instalación";87.25%
"Bandeja tipo malla de 105x600x3000mm electrozincado con aterramiento incluye accesorios de instalación";"Bandeja tipo malla de 60x200x3000mm electrozincado con aterramiento incluye accesorios de instalación";87.25%
"INTERRUPTOR TERMOMAGNETICO DE FUERZA 4x100 A";"INTERRUPTOR TERMOMAGNETICO DE FUERZA 4x160 A";87.23%
"INTERRUPTOR TERMOMAGNETICO DE FUERZA 4x300 A";"INTERRUPTOR TERMOMAGNETICO DE FUERZA 4x400 A";87.23%
"Adquisición de tacho rojo de 40 lt  con tapa  HDPE";"Adquisición de tacho rojo de 60 lt  con tapa  HDPE";87.23%
"Adquisición de tacho rojo de 20 lt  con tapa  HDPE";"Adquisición de tacho rojo de 60 lt  con tapa  HDPE";87.23%
"Adquisición de tacho rojo de 20 lt  con tapa  HDPE";"Adquisición de tacho rojo de 40 lt  con tapa  HDPE";87.23%
"INTERRUPTOR TERMOMAGNETICO DE FUERZA 4x400 A";"INTERRUPTOR TERMOMAGNETICO DE FUERZA 4x600 A";87.23%
"INTERRUPTOR TERMOMAGNETICO DE FUERZA 4x300 A";"INTERRUPTOR TERMOMAGNETICO DE FUERZA 4x600 A";87.23%
"INTERRUPTOR TERMOMAGNETICO DE FUERZA 4x100 A";"INTERRUPTOR TERMOMAGNETICO DE FUERZA 4x120 A";87.23%
"INTERRUPTOR TERMOMAGNETICO DE FUERZA 4x100 A";"INTERRUPTOR TERMOMAGNETICO DE FUERZA 4x140 A";87.23%
"INTERRUPTOR TERMOMAGNETICO DE FUERZA 4x100 A";"INTERRUPTOR TERMOMAGNETICO DE FUERZA 4x150 A";87.23%
"INTERRUPTOR TERMOMAGNETICO DE FUERZA 4x100 A";"INTERRUPTOR TERMOMAGNETICO DE FUERZA 4x180 A";87.23%
"INTERRUPTOR TERMOMAGNETICO DE FUERZA 4x100 A";"INTERRUPTOR TERMOMAGNETICO DE FUERZA 4x300 A";87.23%
"INTERRUPTOR TERMOMAGNETICO DE FUERZA 4x100 A";"INTERRUPTOR TERMOMAGNETICO DE FUERZA 4x400 A";87.23%
"INTERRUPTOR TERMOMAGNETICO DE FUERZA 4x100 A";"INTERRUPTOR TERMOMAGNETICO DE FUERZA 4x600 A";87.23%
"INTERRUPTOR TERMOMAGNETICO DE FUERZA 4x120 A";"INTERRUPTOR TERMOMAGNETICO DE FUERZA 4x140 A";87.23%
"INTERRUPTOR TERMOMAGNETICO DE FUERZA 4x120 A";"INTERRUPTOR TERMOMAGNETICO DE FUERZA 4x150 A";87.23%
"INTERRUPTOR TERMOMAGNETICO DE FUERZA 4x120 A";"INTERRUPTOR TERMOMAGNETICO DE FUERZA 4x160 A";87.23%
"INTERRUPTOR TERMOMAGNETICO DE FUERZA 4x120 A";"INTERRUPTOR TERMOMAGNETICO DE FUERZA 4x180 A";87.23%
"INTERRUPTOR TERMOMAGNETICO DE FUERZA 4x140 A";"INTERRUPTOR TERMOMAGNETICO DE FUERZA 4x150 A";87.23%
"INTERRUPTOR TERMOMAGNETICO DE FUERZA 4x140 A";"INTERRUPTOR TERMOMAGNETICO DE FUERZA 4x160 A";87.23%
"INTERRUPTOR TERMOMAGNETICO DE FUERZA 4x140 A";"INTERRUPTOR TERMOMAGNETICO DE FUERZA 4x180 A";87.23%
"INTERRUPTOR TERMOMAGNETICO DE FUERZA 4x150 A";"INTERRUPTOR TERMOMAGNETICO DE FUERZA 4x160 A";87.23%
"INTERRUPTOR TERMOMAGNETICO DE FUERZA 4x150 A";"INTERRUPTOR TERMOMAGNETICO DE FUERZA 4x180 A";87.23%
"INTERRUPTOR TERMOMAGNETICO DE FUERZA 4x150 A";"INTERRUPTOR TERMOMAGNETICO DE FUERZA 4x250 A";87.23%
"INTERRUPTOR TERMOMAGNETICO DE FUERZA 4x160 A";"INTERRUPTOR TERMOMAGNETICO DE FUERZA 4x180 A";87.23%
"INTERRUPTOR TERMOMAGNETICO DE FUERZA 4x2000 A";"INTERRUPTOR TERMOMAGNETICO DE FUERZA 4x25 A";87.23%
"TERMINALES PARA CONDUCTORES DE 4 MM2";"TERMINALES PARA CONDUCTORES DE 70 MM2";87.18%
"TERMINALES PARA CONDUCTORES DE 4 MM2";"TERMINALES PARA CONDUCTORES DE 95 MM2";87.18%
"TERMINALES PARA CONDUCTORES DE 35 MM2";"TERMINALES PARA CONDUCTORES DE 6 MM2";87.18%
"TERMINALES PARA CONDUCTORES DE 35 MM2";"TERMINALES PARA CONDUCTORES DE 4 MM2";87.18%
"TERMINALES PARA CONDUCTORES DE 25 MM2";"TERMINALES PARA CONDUCTORES DE 6 MM2";87.18%
"TERMINALES PARA CONDUCTORES DE 10 MM2";"TERMINALES PARA CONDUCTORES DE 4 MM2";87.18%
"TERMINALES PARA CONDUCTORES DE 10 MM2";"TERMINALES PARA CONDUCTORES DE 6 MM2";87.18%
"TERMINALES PARA CONDUCTORES DE 16 MM2";"TERMINALES PARA CONDUCTORES DE 4 MM2";87.18%
"TERMINALES PARA CONDUCTORES DE 16 MM2";"TERMINALES PARA CONDUCTORES DE 6 MM2";87.18%
"TERMINALES PARA CONDUCTORES DE 6 MM2";"TERMINALES PARA CONDUCTORES DE 70 MM2";87.18%
"TERMINALES PARA CONDUCTORES DE 4 MM2";"TERMINALES PARA CONDUCTORES DE 50 MM2";87.18%
"TERMINALES PARA CONDUCTORES DE 50 MM2";"TERMINALES PARA CONDUCTORES DE 6 MM2";87.18%
"TERMINALES PARA CONDUCTORES DE 6 MM2";"TERMINALES PARA CONDUCTORES DE 95 MM2";87.18%
"TERMINALES PARA CONDUCTORES DE 25 MM2";"TERMINALES PARA CONDUCTORES DE 4 MM2";87.18%
"VALVULA ESFERICA DE BRONCE DE 2"";"VALVULA ESFERICA DE BRONCE DE 4"";87.10%
"VALVULA ESFERICA DE BRONCE DE 2"";"VALVULA ESFERICA DE BRONCE DE 3"";87.10%
"TUBO DE COBRE TIPO L Ø 1" x 6M";"TUBO DE COBRE TIPO L Ø 2" x 6M";87.10%
"TUBO DE COBRE TIPO L Ø  4" x 6M";"TUBO DE COBRE TIPO L Ø 2" x 6M";87.10%
"TUBO PVC-U DESAGÜE 3" x 3 M e=2 MM SIMPLE PRESIÓN COLOR: GRIS";"TUBO PVC-U DESAGÜE 4" x 3M e=2.6 MM SIMPLE PRESIÓN COLOR: GRIS";87.10%
"VALVULA ESFERICA DE BRONCE DE 1"";"VALVULA ESFERICA DE BRONCE DE 4"";87.10%
"VALVULA ESFERICA DE BRONCE DE 1"";"VALVULA ESFERICA DE BRONCE DE 2"";87.10%
"TUBERIA PVC CP- PESADA  Ø 2"x3M";"TUBERIA PVC CP- PESADA  Ø 3"x3M";87.10%
"UNION DE COBRE PARA SOLDAR 1"";"UNION DE COBRE PARA SOLDAR 2"";87.10%
"UNION DE COBRE PARA SOLDAR 1"";"UNION DE COBRE PARA SOLDAR 3"";87.10%
"UNION DE COBRE PARA SOLDAR 1"";"UNION DE COBRE PARA SOLDAR 4"";87.10%
"UNION DE COBRE PARA SOLDAR 2"";"UNION DE COBRE PARA SOLDAR 3"";87.10%
"TUBO DE COBRE TIPO L Ø  4" x 6M";"TUBO DE COBRE TIPO L Ø 1" x 6M";87.10%
"TUBERIA CONDUIT EMT DE 20 mm";"TUBERIA CONDUIT EMT DE 25 mm";87.10%
"TUBO DE COBRE TIPO L Ø  3" x 6M";"TUBO DE COBRE TIPO L Ø 2" x 6M";87.10%
"UNION DE COBRE PARA SOLDAR 2"";"UNION DE COBRE PARA SOLDAR 4"";87.10%
"VALVULA ESFERICA DE BRONCE DE 1"";"VALVULA ESFERICA DE BRONCE DE 3"";87.10%
"JUNTA DE EXPANSIÓN SISMICA DE 1"";"JUNTA DE EXPANSIÓN SISMICA DE 2"";87.10%
"JUNTA DE EXPANSION SISMICA DE 3"";"JUNTA DE EXPANSION SISMICA DE 4"";87.10%
"REGISTRO COLGADO DE BRONCE 2"";"REGISTRO COLGADO DE BRONCE 3"";87.10%
"TEE DE COBRE SOLDABLE 1" X 90°";"TEE DE COBRE SOLDABLE 2" X 90°";87.10%
"REGISTRO COLGADO DE BRONCE 2"";"REGISTRO COLGADO DE BRONCE 4"";87.10%
"REGISTRO COLGADO DE BRONCE 3"";"REGISTRO COLGADO DE BRONCE 4"";87.10%
"TUBERIA PVC CP- PESADA  Ø 2"x3M";"TUBERIA PVC CP- PESADA  Ø 4"x3M";87.10%
