Grupo ID;Insumo Original
Grupo 47;"VALVULA DE BOLA 1 1/2" SCRD 150 PSI"
Grupo 47;"VALVULA DE BOLA 1/2" SCRD 150 PSI"
Grupo 47;"VALVULA DE BOLA 1" SCRD 150 PSI"
Grupo 48;"VALVULA CHECK DE BRONCE ∅ 2 1/2""
Grupo 48;"VALVULA CHECK DE BRONCE DE 1 1/2""
Grupo 48;"VALVULA CHECK DE BRONCE DE 1/2""
Grupo 48;"VALVULA CHECK DE BRONCE DE 1""
Grupo 49;"VALVULA COMPUERTA DE BRONCE 1/2""
Grupo 49;"VALVULA COMPUERTA DE BRONCE DE 2 1/2""
Grupo 49;"VALVULA COMPUERTA DE BRONCE 1 1/2""
Grupo 49;"VALVULA COMPUERTA DE BRONCE 1""
Grupo 49;"VALVULA DE COMPUERTA DE BRONCE ø 2""
Grupo 49;"VALVULA DE COMPUERTA BRONCE DE 6""
Grupo 50;"CODO DE COBRE DE TIPO L 1 1/2" X 90º"
Grupo 50;"CODO DE COBRE DE TIPO L 1/2" X 90º"
Grupo 50;"CODO DE COBRE DE TIPO L 1" X 90º"
Grupo 51;"CODO 1 1/2" x 90º CLASE150 MI 197 ROSCADO FIERRO MALEABLE"
Grupo 51;"CODO 1/2" x 90º CLASE150 MI 197 ROSCADO FIERRO MALEABLE"
Grupo 51;"CODO 1" x 90º CLASE150 MI 197 ROSCADO FIERRO MALEABLE"
Grupo 51;"CODO 4" x 90º CLASE150 MI 197 SOLDADO ROSCADO FIERRO MALEABLE"
Grupo 51;"CODO 10" x 90º CLASE150 MI 197 SOLDADO FIERRO MALEABLE"
Grupo 52;"CODO DE ACERO AL CARBONO -  ROSCADO SCH-40 1 1/2"X90°"
Grupo 52;"CODO DE ACERO AL CARBONO -  ROSCADO SCH-40 1/2"X90°"
Grupo 52;"CODO DE ACERO AL CARBONO -  ROSCADO SCH-40 1"X90°"
Grupo 52;"CODO DE ACERO AL CARBONO -  ROSCADO SCH-40 3/4"X90°"
Grupo 53;"CRUZ SCH - 40 1 1/2""
Grupo 53;"CRUZ SCH - 40 2 1/2""
Grupo 53;"CRUZ SCH - 40 2""
Grupo 54;"UNION DE COBRE PARA SOLDAR 1 1/2""
Grupo 54;"UNION DE COBRE PARA SOLDAR 1/2""
Grupo 54;"UNION DE COBRE PARA SOLDAR 2 1/2"
Grupo 54;"UNION DE COBRE PARA SOLDAR 2""
Grupo 54;"UNION DE COBRE PARA SOLDAR 1""
Grupo 55;"TUBO DE FIERRO GALVANIZADO DE 1" x 2.5mm"
Grupo 55;"TUBO DE FIERRO GALVANIZADO DE 1/2" x 2.5mm"
Grupo 55;"TUBO DE FIERRO GALVANIZADO DE 1 1/2" x 2.5mm"
Grupo 55;"TUBO DE FIERRO GALVANIZADO DE 1 1/4" x 2.5mm"
Grupo 55;"TUBO DE FIERRO GALVANIZADO DE 2" x 2.5mm"
